city,sunshine,t_average_min,t_average_min,t_best_min,t_best_max,precipitation,day_of_rain,humidity,altitude,notation
berlin,4,7,14,-4,26,48,14,,,
bali,7,24,32,21,38,111,8,,,
turin,4,12,18,1,27,124,8,,,
sydney,8,14,23,6,38,70,12,,,
