city,sunshine,t_average_min,t_average_min,t_best_min,t_best_max,precipitation,day_of_rain,humidity,altitude,notation
berlin,1,0,4,-18,16,42,15,,,
bali,5,24,30,19,35,202,14,,,
turin,2,3,7,-7,19,76,7,,,
sydney,8,18,26,9,43,73,13,,,
