city,sunshine,t_average_min,t_average_min,t_best_min,t_best_max,precipitation,day_of_rain,humidity,altitude,notation
berlin,8,15,25,5,36,72,14,,,
bali,7,24,32,19,32,63,5,,,
turin,9,21,30,10,37,63,6,,,
sydney,6,9,17,2,25,116,12,,,
