city,sunshine,t_average_min,t_average_min,t_best_min,t_best_max,precipitation,day_of_rain,humidity,altitude,notation
berlin,6,11,21,1,33,47,12,,,
bali,8,24,32,19,35,65,5,,,
turin,6,17,25,7,32,68,5,,,
sydney,7,12,20,5,32,73,12,,,
