city,sunshine,t_average_min,t_average_min,t_best_min,t_best_max,precipitation,day_of_rain,humidity,altitude,notation
berlin,2,3,8,-9,16,45,16,,,
bali,6,24,31,20,35,141,12,,,
turin,2,7,11,-1,20,121,10,,,
sydney,7,17,24,8,38,73,12,,,
