city,sunshine,t_average_min,t_average_min,t_best_min,t_best_max,precipitation,day_of_rain,humidity,altitude,notation
berlin,8,9,20,-3,31,48,12,,,
bali,7,25,32,21,33,113,9,,,
turin,7,15,24,6,32,75,8,,,
sydney,6,12,20,4,29,126,13,,,
