city,sunshine,t_average_min,t_average_min,t_best_min,t_best_max,precipitation,day_of_rain,humidity,altitude,notation
berlin,8,13,23,3,36,64,13,,,
bali,7,24,32,19,35,96,7,,,
turin,8,18,28,9,36,117,9,,,
sydney,5,10,17,2,28,116,12,,,
