city,sunshine,t_average_min,t_average_min,t_best_min,t_best_max,precipitation,day_of_rain,humidity,altitude,notation
berlin,6,5,14,-6,31,41,13,,,3
bali,7,25,32,21,35,146,11,,,3
turin,6,11,19,0,30,93,8,,,3
sydney,6,18,25,9,38,126,14,,,4
montreuil,2,1,6,-10,14,43,6,,,2

