city,sunshine,t_average_min,t_average_min,t_best_min,t_best_max,precipitation,day_of_rain,humidity,altitude,notation
berlin,2,-2,4,-22,18,39,15,,,5
bali,5,24,30,21,34,299,17,,,4
turin,3,3,9,-11,21,59,7,,,1
sydney,7,19,27,9,43,101,13,,,4
montreuil,2,1,6,-10,14,43,6,,,2

