city,sunshine,t_average_min,t_average_min,t_best_min,t_best_max,precipitation,day_of_rain,humidity,altitude,notation
berlin,5,1,9,-14,21,32,12,,,2
bali,6,24,31,21,32,210,15,,,3
turin,5,7,14,-2,21,76,7,,,3
sydney,6,18,25,9,38,126,14,,,4
montreuil,2,1,6,-10,14,43,6,,,2

